epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
43,55.5493,0.07094,1,1,0.32875,0.00017519,0.00017519,0.00017519
44,56.6861,0.06836,1,1,0.32875,0.000176322,0.000176322,0.000176322
45,57.8457,0.05708,1,1,0.32593,0.000177312,0.000177312,0.000177312
46,59.0118,0.05331,1,1,0.32593,0.000178161,0.000178161,0.000178161
47,60.1886,0.04357,1,1,0.32369,0.000178868,0.000178868,0.000178868
48,61.3171,0.03501,1,1,0.32369,0.000179435,0.000179435,0.000179435
49,62.6037,0.04135,1,1,0.32193,0.000179859,0.000179859,0.000179859
50,63.7688,0.03628,1,1,0.32193,0.000180143,0.000180143,0.000180143
51,64.9338,0.03517,1,1,0.32049,0.000180285,0.000180285,0.000180285
52,66.0712,0.03084,1,1,0.32049,0.000180286,0.000180286,0.000180286
53,67.3082,0.02922,1,1,0.32049,0.000180145,0.000180145,0.000180145
54,68.4659,0.0364,1,1,0.3195,0.000179863,0.000179863,0.000179863
55,69.5773,0.02383,1,1,0.3195,0.00017944,0.00017944,0.00017944
56,70.6854,0.02656,1,1,0.3195,0.000178875,0.000178875,0.000178875
57,71.8979,0.03842,1,1,0.31854,0.000178169,0.000178169,0.000178169
58,73.1093,0.03638,1,1,0.31854,0.000177321,0.000177321,0.000177321
59,74.3163,0.02754,1,1,0.31854,0.000176332,0.000176332,0.000176332
60,75.5434,0.0262,1,1,0.3178,0.000175202,0.000175202,0.000175202
61,76.7422,0.04056,1,1,0.3178,0.00017393,0.00017393,0.00017393
62,77.9482,0.02117,1,1,0.3178,0.000172517,0.000172517,0.000172517
63,79.0501,0.01913,1,1,0.31711,0.000170963,0.000170963,0.000170963
64,80.1255,0.01934,1,1,0.31711,0.000169267,0.000169267,0.000169267
65,81.2087,0.02375,1,1,0.31711,0.00016743,0.00016743,0.00016743
66,82.34,0.01846,1,1,0.31682,0.000165452,0.000165452,0.000165452
67,83.5017,0.01924,1,1,0.31682,0.000163332,0.000163332,0.000163332
68,84.597,0.01663,1,1,0.31682,0.000161071,0.000161071,0.000161071
69,85.6619,0.01451,1,1,0.31648,0.000158668,0.000158668,0.000158668
70,86.7117,0.02087,1,1,0.31648,0.000156124,0.000156124,0.000156124
71,87.8315,0.02485,1,1,0.31648,0.000153439,0.000153439,0.000153439
72,89.0585,0.01834,1,1,0.31622,0.000150612,0.000150612,0.000150612
73,90.292,0.0154,1,1,0.31622,0.000147644,0.000147644,0.000147644
74,91.3569,0.01446,1,1,0.31622,0.000144534,0.000144534,0.000144534
75,92.4772,0.01437,1,1,0.31602,0.000141283,0.000141283,0.000141283
76,93.635,0.01637,1,1,0.31602,0.000137891,0.000137891,0.000137891
77,94.8115,0.01447,1,1,0.31602,0.000134358,0.000134358,0.000134358
78,95.9676,0.01137,1,1,0.31578,0.000130683,0.000130683,0.000130683
79,97.0921,0.01215,1,1,0.31578,0.000126866,0.000126866,0.000126866
80,98.2671,0.00949,1,1,0.31578,0.000122909,0.000122909,0.000122909
81,99.5969,0.01521,1,1,0.31561,0.00011881,0.00011881,0.00011881
82,100.783,0.01816,1,1,0.31561,0.000114569,0.000114569,0.000114569
83,101.955,0.0137,1,1,0.31561,0.000110187,0.000110187,0.000110187
84,103.257,0.0157,1,1,0.31542,0.000105664,0.000105664,0.000105664
85,104.552,0.01523,1,1,0.31542,0.000101,0.000101,0.000101
86,105.712,0.01557,1,1,0.31542,9.61937e-05,9.61937e-05,9.61937e-05
87,106.79,0.01142,1,1,0.31542,9.12463e-05,9.12463e-05,9.12463e-05
88,107.914,0.02411,1,1,0.3153,8.61577e-05,8.61577e-05,8.61577e-05
89,109.036,0.01185,1,1,0.3153,8.09276e-05,8.09276e-05,8.09276e-05
90,110.441,0.0098,1,1,0.3153,7.55562e-05,7.55562e-05,7.55562e-05
91,111.55,0.0086,1,1,0.3153,7.00434e-05,7.00434e-05,7.00434e-05
92,112.634,0.01307,1,1,0.31526,6.43892e-05,6.43892e-05,6.43892e-05
93,113.662,0.0128,1,1,0.31526,5.85937e-05,5.85937e-05,5.85937e-05
94,114.767,0.01184,1,1,0.31526,5.26568e-05,5.26568e-05,5.26568e-05
95,115.908,0.01303,1,1,0.31526,4.65785e-05,4.65785e-05,4.65785e-05
96,117.129,0.01071,1,1,0.31519,4.03589e-05,4.03589e-05,4.03589e-05
97,118.309,0.0123,1,1,0.31519,3.39978e-05,3.39978e-05,3.39978e-05
98,120.032,0.00918,1,1,0.31519,2.74954e-05,2.74954e-05,2.74954e-05
99,122.534,0.00921,1,1,0.31519,2.08517e-05,2.08517e-05,2.08517e-05
100,124.514,0.00759,1,1,0.31522,1.40665e-05,1.40665e-05,1.40665e-05
