epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.66217,0.77744,0.6,1,0.7277,0,0,0
2,8.47977,0.82382,0.6,1,0.73048,7.06931e-06,7.06931e-06,7.06931e-06
3,9.25957,0.78446,0.6,1,0.72935,1.39973e-05,1.39973e-05,1.39973e-05
4,10.0803,0.75475,0.6,1,0.72293,2.07838e-05,2.07838e-05,2.07838e-05
5,10.926,0.77692,0.6,1,0.71604,2.7429e-05,2.7429e-05,2.7429e-05
6,11.79,0.70301,0.6,1,0.70585,3.39329e-05,3.39329e-05,3.39329e-05
7,12.7429,0.74234,0.6,1,0.69295,4.02953e-05,4.02953e-05,4.02953e-05
8,13.9768,0.71368,0.6,1,0.67789,4.65164e-05,4.65164e-05,4.65164e-05
9,15.2789,0.67021,0.6,1,0.66294,5.25961e-05,5.25961e-05,5.25961e-05
10,16.5344,0.66361,0.73333,1,0.6449,5.85344e-05,5.85344e-05,5.85344e-05
11,17.7437,0.64422,0.73333,1,0.62497,6.43314e-05,6.43314e-05,6.43314e-05
12,18.9888,0.54403,0.8,1,0.60404,6.9987e-05,6.9987e-05,6.9987e-05
13,20.1275,0.52917,0.8,1,0.58155,7.55012e-05,7.55012e-05,7.55012e-05
14,21.2756,0.5127,0.86667,1,0.55923,8.08741e-05,8.08741e-05,8.08741e-05
15,22.4564,0.45589,0.86667,1,0.53737,8.61055e-05,8.61055e-05,8.61055e-05
16,23.6607,0.41863,0.93333,1,0.51622,9.11957e-05,9.11957e-05,9.11957e-05
17,24.9219,0.39503,0.93333,1,0.49592,9.61444e-05,9.61444e-05,9.61444e-05
18,26.0793,0.36781,0.93333,1,0.49592,0.000100952,0.000100952,0.000100952
19,27.3026,0.41067,0.93333,1,0.47458,0.000105618,0.000105618,0.000105618
20,28.3997,0.32531,0.93333,1,0.47458,0.000110142,0.000110142,0.000110142
21,29.6457,0.31575,1,1,0.45246,0.000114526,0.000114526,0.000114526
22,30.837,0.2935,1,1,0.45246,0.000118767,0.000118767,0.000118767
23,31.9643,0.31072,1,1,0.43389,0.000122868,0.000122868,0.000122868
24,33.0388,0.26797,1,1,0.43389,0.000126827,0.000126827,0.000126827
25,34.2124,0.2665,1,1,0.41521,0.000130645,0.000130645,0.000130645
26,35.4357,0.29906,1,1,0.41521,0.000134321,0.000134321,0.000134321
27,36.6313,0.25906,1,1,0.39823,0.000137856,0.000137856,0.000137856
28,37.7992,0.19418,1,1,0.39823,0.00014125,0.00014125,0.00014125
29,38.9939,0.20638,1,1,0.38234,0.000144502,0.000144502,0.000144502
30,40.3091,0.18307,1,1,0.38234,0.000147613,0.000147613,0.000147613
31,41.6398,0.19865,1,1,0.36904,0.000150583,0.000150583,0.000150583
32,42.7187,0.15538,1,1,0.36904,0.000153411,0.000153411,0.000153411
33,43.9163,0.15545,1,1,0.359,0.000156098,0.000156098,0.000156098
34,45.0204,0.13,1,1,0.359,0.000158643,0.000158643,0.000158643
35,46.3187,0.13816,1,1,0.34948,0.000161047,0.000161047,0.000161047
36,47.4201,0.10873,1,1,0.34948,0.00016331,0.00016331,0.00016331
37,48.625,0.11814,1,1,0.34231,0.000165431,0.000165431,0.000165431
38,49.7509,0.09228,1,1,0.34231,0.000167411,0.000167411,0.000167411
39,50.9412,0.1156,1,1,0.33655,0.000169249,0.000169249,0.000169249
40,52.1682,0.08528,1,1,0.33655,0.000170947,0.000170947,0.000170947
41,53.3109,0.08335,1,1,0.33206,0.000172502,0.000172502,0.000172502
42,54.4134,0.06508,1,1,0.33206,0.000173917,0.000173917,0.000173917
